master_id,codice_fiscale,denominazione,regione,provincia,comune,regione_normalizzata,provincia_normalizzata,comune_normalizzato,discipline_praticate,sport_normalizzati,organisms,source_ids,source_count
reg_38bc8ddd79ce66fe,94103060540,ASS.SPORTIVA DILETTANTISTICA CENTRO SPORTIVO BLUE ANGEL,Umbria,PG,Torgiano,Umbria,PG,Torgiano,"Attività sportiva ginnastica finalizzata alla salute ed al fitness, Ginnastica per Tutti, STREET DANCE Urban Dance: Hip Hop, Break Dance, Electric Boogie, Funk, Hype, Contaminazioni e stili derivati, DANZE REGIONALI Danze Folk e liscio Tradizionale: Mazurka, Valzer, Polka e altri balli tradizionali, Ginnastica Aerobica, DANZE ACCADEMICHE Danza Moderna e Contemporanea: Modern Jazz, Lyrical Jazz, Graham, Cunningam, Limon e generi derivati., DANZE COREOGRAFICHE Danze Etniche, Popolari e di Carattere: Tap Dance, Twist, Charleston, Belly Dance e danze tradizionali varie, DANZE ACCADEMICHE Danza Classica: Tecniche di Balletto, Variazioni Libere, Pas de Deux, Repertorio Classico, DANZE INTERNAZIONALI Danze Freestyle: Danze Caraibiche (Salsa, Mambo, Merengue, Bachata, Combinata, Rueda), Danze Argentine (Tango, Vals, Milonga), Hustle, Show Coppie e Formazioni, DANZE COREOGRAFICHE Danze Freestyle: Synchro Dance, Choreographic Dance, Show Dance, Disco Dance, DANZE INTERNAZIONALI Danze Standard e Danze Latine: Valzer Inglese, Tango, Valzer Viennese, Slow Foxtrot, Quick Step, Samba, Cha Cha Cha, Rumba, Paso Doble, Jive, Combinata, Show Coppie e Formazioni, DANZE INTERNAZIONALI Danze Jazz: Rock'n Roll, Rock Acrobatico, Boogie Woogie, Swing Dance, Lindy Hop, Mixing Blues, Combinata, Show Coppie e Formazioni, DANZE NAZIONALI Liscio Unificato e Sala: Mazurka, Valzer Viennese, Polka, Valzer Lento, Tango, Foxtrot, Combinata, Show Coppie e Formazioni",danza|fitness|ginnastica|sci,CSEN,100076,1
reg_65622dd63e969fbc,94103780485,ASSOCIAZIONE SPORTIVA DILETTANTISTICA ACCADEMIA ARS NOVA,Toscana,PT,Montale,Toscana,PT,Montale,Tennis Tavolo,tennis|tennistavolo,ENDAS,100090,1
reg_d1d1b897e744531a,94103930544,ASD MARSCIANO BIKE,Umbria,PG,Marsciano,Umbria,PG,Marsciano,"Cycling for All e Master, Cicloturismo, Mountain bike",ciclismo,AICS,100094,1
reg_70fd64f5f309f915,94104150266,ASSOCIAZIONE SPORTIVA DILETTANTISTICA IL GIROTONDO,Veneto,TV,Treviso,Veneto,TV,Treviso,"Attività sportiva ginnastica finalizzata alla salute ed al fitness, Ginnastica Artistica",fitness|ginnastica,CSI,100097,1
reg_4430849596cc4516,94104320307,DANCE TEAM FRIULI SOC. S. D. SRL,Friuli-Venezia Giulia,UD,Pagnacco,Friuli-Venezia Giulia,UD,Pagnacco,"DANZE ACCADEMICHE Danza Moderna e Contemporanea: Modern Jazz, Lyrical Jazz, Graham, Cunningam, Limon e generi derivati., DANZE INTERNAZIONALI Danze Freestyle: Danze Caraibiche (Salsa, Mambo, Merengue, Bachata, Combinata, Rueda), Danze Argentine (Tango, Vals, Milonga), Hustle, Show Coppie e Formazioni, DANZE COREOGRAFICHE Danze Freestyle: Synchro Dance, Choreographic Dance, Show Dance, Disco Dance, DANZE INTERNAZIONALI Danze Standard e Danze Latine: Valzer Inglese, Tango, Valzer Viennese, Slow Foxtrot, Quick Step, Samba, Cha Cha Cha, Rumba, Paso Doble, Jive, Combinata, Show Coppie e Formazioni, DANZE NAZIONALI Liscio Unificato e Sala: Mazurka, Valzer Viennese, Polka, Valzer Lento, Tango, Foxtrot, Combinata, Show Coppie e Formazioni, STREET DANCE Urban Dance: Hip Hop, Break Dance, Electric Boogie, Funk, Hype, Contaminazioni e stili derivati, DANZE REGIONALI Danze Folk e liscio Tradizionale: Mazurka, Valzer, Polka e altri balli tradizionali, DANZE ACCADEMICHE Danza Moderna e Contemporanea: Modern Jazz, Lyrical Jazz, Graham, Cunningam, Limon e generi derivati., DANZE COREOGRAFICHE Danze Etniche, Popolari e di Carattere: Tap Dance, Twist, Charleston, Belly Dance e danze tradizionali varie, DANZE ACCADEMICHE Danza Classica: Tecniche di Balletto, Variazioni Libere, Pas de Deux, Repertorio Classico, DANZE INTERNAZIONALI Danze Freestyle: Danze Caraibiche (Salsa, Mambo, Merengue, Bachata, Combinata, Rueda), Danze Argentine (Tango, Vals, Milonga), Hustle, Show Coppie e Formazioni, DANZE COREOGRAFICHE Danze Freestyle: Synchro Dance, Choreographic Dance, Show Dance, Disco Dance, DANZE INTERNAZIONALI Danze Standard e Danze Latine: Valzer Inglese, Tango, Valzer Viennese, Slow Foxtrot, Quick Step, Samba, Cha Cha Cha, Rumba, Paso Doble, Jive, Combinata, Show Coppie e Formazioni, DANZE INTERNAZIONALI Danze Jazz: Rock'n Roll, Rock Acrobatico, Boogie Woogie, Swing Dance, Lindy Hop, Mixing Blues, Combinata, Show Coppie e Formazioni, DANZE NAZIONALI Liscio Unificato e Sala: Mazurka, Valzer Viennese, Polka, Valzer Lento, Tango, Foxtrot, Combinata, Show Coppie e Formazioni, Attività sportiva ginnastica finalizzata alla salute ed al fitness, DANZE REGIONALI Danze Folk e liscio Tradizionale: Mazurka, Valzer, Polka e altri balli tradizionali",danza|fitness|ginnastica|sci,ASC,100099,1
reg_236a9e741a2bb926,94104480309,ASSOCIAZIONE SPORTIVA DILETTANTISTICA ALL STYLE COMBAT UDINE,Friuli-Venezia Giulia,UD,Udine,Friuli-Venezia Giulia,UD,Udine,"Point Fighting, Full Contact, K-1 Rules, Kick Light, Light Contact, Low Kick, Point Fighting, Karate, K-1 Rules, Kick Light, Light Contact, Low Kick",arti_marziali,CSEN,100104,1
reg_9614133161450f6e,94104560712,ASSOCIAZIONE CULTURALE SPORTIVA DILETTANTISTICA MAHARI,Puglia,FG,Foggia,Puglia,FG,Foggia,"Attività sportiva ginnastica finalizzata alla salute ed al fitness, Ginnastica per Tutti, STREET DANCE Urban Dance: Hip Hop, Break Dance, Electric Boogie, Funk, Hype, Contaminazioni e stili derivati, Ginnastica Aerobica",danza|fitness|ginnastica,AICS,100109,1
reg_3c2910881b5407e9,94104680544,ASSOCIAZIONE SPORTIVA DILETTANTISTICA LUPI DEL DELTA SOFT AIR TEAM,Umbria,PG,Assisi,Umbria,PG,Assisi,Arma Air Soft,,ENDAS,100110,1
reg_506c4f16c0092e60,94104680718,ASSOCIAZIONE SPORTIVA DILETTANTISTICA MIL PASOS,Puglia,FG,Foggia,Puglia,FG,Foggia,"DANZE ACCADEMICHE Danza Moderna e Contemporanea: Modern Jazz, Lyrical Jazz, Graham, Cunningam, Limon e generi derivati., DANZE COREOGRAFICHE Danze Etniche, Popolari e di Carattere: Tap Dance, Twist, Charleston, Belly Dance e danze tradizionali varie, DANZE ACCADEMICHE Danza Classica: Tecniche di Balletto, Variazioni Libere, Pas de Deux, Repertorio Classico, DANZE INTERNAZIONALI Danze Freestyle: Danze Caraibiche (Salsa, Mambo, Merengue, Bachata, Combinata, Rueda), Danze Argentine (Tango, Vals, Milonga), Hustle, Show Coppie e Formazioni, DANZE COREOGRAFICHE Danze Freestyle: Synchro Dance, Choreographic Dance, Show Dance, Disco Dance, DANZE INTERNAZIONALI Danze Standard e Danze Latine: Valzer Inglese, Tango, Valzer Viennese, Slow Foxtrot, Quick Step, Samba, Cha Cha Cha, Rumba, Paso Doble, Jive, Combinata, Show Coppie e Formazioni, DANZE INTERNAZIONALI Danze Jazz: Rock'n Roll, Rock Acrobatico, Boogie Woogie, Swing Dance, Lindy Hop, Mixing Blues, Combinata, Show Coppie e Formazioni, DANZE NAZIONALI Liscio Unificato e Sala: Mazurka, Valzer Viennese, Polka, Valzer Lento, Tango, Foxtrot, Combinata, Show Coppie e Formazioni",danza|sci,CSEN,100111,1
reg_f682bac835032b83,94104790301,A.S.D. POLIPOSPORTIVA,Friuli-Venezia Giulia,UD,Premariacco,Friuli-Venezia Giulia,UD,Premariacco,"Ginnastica Ritmica, Ginnastica Artistica",ginnastica,CSEN,100115,1
reg_435932137bdf47d9,94105060308,CENTRO ARTI MARZIALI ASSOCIAZIONE SPORTIVA DILETTANTISTICA,Friuli-Venezia Giulia,UD,Attimis,Friuli-Venezia Giulia,UD,Attimis,"Karate, Attività sportiva ginnastica finalizzata alla salute ed al fitness",arti_marziali|fitness|ginnastica,CSEN,100117,1
reg_ddb67ccdd2dc9947,94105160710,A.S.D. JOCA BONITO FOGGIA,Puglia,FG,Foggia,Puglia,FG,Foggia,"Calcio (a 11), Calcio (a 11), Calcio (a 8), Attività sportiva ginnastica finalizzata alla salute ed al fitness, Futsal (calcio da sala - calcio a 5), Calcio (a 7)",calcio|fitness|ginnastica,CSEN|FIGC,100118,1
reg_1d10cfdd69650194,94105290301,ASSOCIAZIONE SPORTIVA DILETTANTISTICA FIT,Friuli-Venezia Giulia,UD,Udine,Friuli-Venezia Giulia,UD,Udine,"Attività sportiva ginnastica finalizzata alla salute ed al fitness, Ginnastica per Tutti",fitness|ginnastica,CSEN,100120,1
reg_c2419aa5397313e0,94105690302,ASSOCIAZIONE SPORTIVA DILETTANTISTICA TREMENDI RUN,Friuli-Venezia Giulia,UD,Cividale del Friuli,Friuli-Venezia Giulia,UD,Cividale del Friuli,Atletica Leggera,atletica,CSI,100127,1
reg_91430061564c9c22,94106250304,YOSEIKAN BUDO CLUB REMANZACCO-ASSOCIAZIONE SPORTIVA DILETTANTISTICA,Friuli-Venezia Giulia,UD,Remanzacco,Friuli-Venezia Giulia,UD,Remanzacco,"Ju-Jitsu, Kung Fu Tradizionale - Jeet Kune Do, Aikido, Taijiquan - Tui Shou, Karate, Kendo, Kick Light, Ginnastica per Tutti",arti_marziali|ginnastica,CSEN,100133,1
reg_b8e64467e67386ad,94106370540,BAILA COMMIGO ASSOCIAZIONE SPORTIVA DILETTANTISTICA E DI PROMOZIONE SOCIALE,Umbria,PG,Assisi,Umbria,PG,Assisi,"DANZE ACCADEMICHE Danza Moderna e Contemporanea: Modern Jazz, Lyrical Jazz, Graham, Cunningam, Limon e generi derivati., DANZE INTERNAZIONALI Danze Freestyle: Danze Caraibiche (Salsa, Mambo, Merengue, Bachata, Combinata, Rueda), Danze Argentine (Tango, Vals, Milonga), Hustle, Show Coppie e Formazioni, DANZE INTERNAZIONALI Danze Standard e Danze Latine: Valzer Inglese, Tango, Valzer Viennese, Slow Foxtrot, Quick Step, Samba, Cha Cha Cha, Rumba, Paso Doble, Jive, Combinata, Show Coppie e Formazioni, DANZE INTERNAZIONALI Danze Jazz: Rock'n Roll, Rock Acrobatico, Boogie Woogie, Swing Dance, Lindy Hop, Mixing Blues, Combinata, Show Coppie e Formazioni, Ginnastica Acrobatica, DANZE NAZIONALI Liscio Unificato e Sala: Mazurka, Valzer Viennese, Polka, Valzer Lento, Tango, Foxtrot, Combinata, Show Coppie e Formazioni, Attività sportiva ginnastica finalizzata alla salute ed al fitness, STREET DANCE Urban Dance: Hip Hop, Break Dance, Electric Boogie, Funk, Hype, Contaminazioni e stili derivati, Ginnastica Aerobica, DANZE COREOGRAFICHE Danze Freestyle: Synchro Dance, Choreographic Dance, Show Dance, Disco Dance",danza|fitness|ginnastica|sci,CSEN,100134,1
reg_58f01313ef66dab8,94107020482,ASSOCIAZ.SPORTIVA DILETT. MOVIMENTI,Toscana,FI,Pontassieve,Toscana,FI,Pontassieve,Attività sportiva ginnastica finalizzata alla salute ed al fitness,fitness|ginnastica,CSI,100149,1
reg_77bc6beaa9db2998,01961360466,A.S.D.FILICAIA DIAVOLI ROSSI,Toscana,LU,Camporgiano,Toscana,LU,Camporgiano,Calcio (a 11),calcio,FIGC,10015,1
reg_2e8ab3e0ab5da545,94107340260,DREAMERS ASD,Veneto,TV,Treviso,Veneto,TV,Treviso,"Pallacanestro, Atletica Leggera",atletica|basket,CSI,100161,1
reg_77790545b67da54b,94107400262,VOLLEYFUSION ASSOCIAZIONE SPORTIVA DILETTANTISTICA,Veneto,TV,Maserada sul Piave,Veneto,TV,Maserada sul Piave,Pallavolo,volley,CSI,100164,1
reg_25df70eafb6357e6,94107540547,RIFONDAZIONE SALESIANA ASSOCIAZIONE SPORTIVA DILETTANTISTICA,Umbria,PG,Perugia,Umbria,PG,Perugia,Pallacanestro,basket,CSI,100169,1
reg_2dc8d17ac1344ce4,01961710264,MOTO CLUB ARDOSA ASSOCIAZIONE SPORTIVA DILETTANTISTICA,Veneto,TV,Pieve del Grappa,Veneto,TV,Pieve del Grappa,"Motocross, Moto d'epoca, Enduro, Motocross",atletica,CSEN,10017,1
reg_dc1f6fa959245e2f,94107590484,SALSABRAVA ASSOCIAZIONE SPORTIVA DILETTANTISTICA,Toscana,FI,Signa,Toscana,FI,Signa,"DANZE ACCADEMICHE Danza Moderna e Contemporanea: Modern Jazz, Lyrical Jazz, Graham, Cunningam, Limon e generi derivati., DANZE INTERNAZIONALI Danze Freestyle: Danze Caraibiche (Salsa, Mambo, Merengue, Bachata, Combinata, Rueda), Danze Argentine (Tango, Vals, Milonga), Hustle, Show Coppie e Formazioni",danza,CSI,100170,1
reg_7cc78419a5784af7,94108220305,A.S.D.POLISPORTIVA D.L.F. UDINE,Friuli-Venezia Giulia,UD,Udine,Friuli-Venezia Giulia,UD,Udine,"Pallacanestro, Judo, Sci alpino, Futsal (calcio da sala - calcio a 5), Tennis, Ginnastica per Tutti, Pallacanestro, Nuoto, Pallavolo, Scacchi, Ciclismo su strada, Golf, Judo, Pattinaggio freestyle, Calcio (a 11), Roller Derby, Attività sportiva ginnastica finalizzata alla salute ed al fitness, Tennis, Pattinaggio artistico, Ginnastica Ritmica, Ginnastica Artistica, Nuoto, Sci fondo, Scacchi, Futsal (calcio da sala - calcio a 5), Corsa su strada, Pallacanestro, Pallavolo",arti_marziali|atletica|basket|calcio|ciclismo|fitness|ginnastica|golf|nuoto|pattinaggio|sci|tennis|volley,CSEN|FIP|UISP,100180,1
reg_0889fdcbd450a1f9,94108330542,ASSOCIAZIONE SPORTIVA DILETTANTISTICA FILIPPIDE-D.L.F. CHIUSI-AVIS CASTIGLIONE DEL LAGO,Umbria,PG,Castiglione del Lago,Umbria,PG,Castiglione del Lago,"Trail, Atletica Leggera, Corsa su strada",atletica,UISP,100181,1
reg_8aee55d397624c95,94108340483,"C.S.I. - ASSOCIAZIONE PARROCHIALE ""T. MELANI""",Toscana,FI,Dicomano,Toscana,FI,Dicomano,"Futsal (calcio da sala - calcio a 5), Calcio (a 7), Attività sportiva ginnastica finalizzata alla salute ed al fitness, Tennis Tavolo, Pallavolo",calcio|fitness|ginnastica|tennis|tennistavolo|volley,CSI,100182,1
reg_d5225a39d4cbd728,01961950167,ASSOCIAZIONE SPORTIVA DILETTANTISTICA FORZA & COSTANZA 1905,Lombardia,BG,Martinengo,Lombardia,BG,Martinengo,"Calcio (a 11), Calcio (a 11)",calcio,CSI|FIGC,10019,1
reg_a310577e1852de10,94109020308,"ASSOCIAZIONE CULTURALE E SPORTIVA DILETTANTISTICA ""HIGASHI NO YUME""",Friuli-Venezia Giulia,UD,Povoletto,Friuli-Venezia Giulia,UD,Povoletto,Aikido,,CSEN,100192,1
reg_7bd280035ca2099d,01962000202,A.S.D. AUDACE CASTEL D'ARIO,Lombardia,MN,Castel d'Ario,Lombardia,MN,Castel d'Ario,"Calcio (a 11), Calcio (a 11), Calcio (a 7)",calcio,AICS|CSI,10020,1
reg_50d8062445af5948,94110060483,WATERBASKET FIRENZE,Toscana,FI,Firenze,Toscana,FI,Firenze,"Pallanuoto, Nuoto",nuoto|pallanuoto,AICS,100204,1
reg_21c1a8e71d3ff165,94110170266,ASSOCIAZIONE SPORTIVA DILETTANTISTICA C.O. BASKET 2000 PAESE,Veneto,TV,Paese,Veneto,TV,Paese,Pallacanestro,basket,FIP,100206,1
reg_12698dd3acc4e420,01962180970,G.S. PIETA'2004 ASSOCIAZIONE SPORTIVA DILETTANTISTICA,Toscana,PO,Prato,Toscana,PO,Prato,Calcio (a 11),calcio,FIGC,10021,1
reg_8561ffd2a5026d4f,94110460261,A.S.D. LIAPIAVE,Veneto,TV,San Polo di Piave,Veneto,TV,San Polo di Piave,Calcio (a 11),calcio,FIGC,100211,1
reg_0e0ce31135065094,94110530261,ARIES ASSOCIAZIONE SPORTIVA DILETTANTISTICA,Veneto,TV,Carbonera,Veneto,TV,Carbonera,"Atletica Leggera, Attività sportiva ginnastica finalizzata alla salute ed al fitness, Corsa su strada, Ginnastica per Tutti, Ginnastica Aerobica",atletica|fitness|ginnastica,AICS,100212,1
reg_fa75ecc2ffe315a3,94110650218,LANGUAGE & CARDIO FITNESS ASSOCIAZIONE SPORTIVA DILETTANTISTICA,Trentino-Alto Adige/Südtirol,BZ,Bolzano/Bozen,Trentino-Alto Adige,BZ,Bolzano - Bozen,"Tiro con l'arco da caccia, Cultura Fisica (Biathlon Atletico, Sviluppo Muscolare, Braccio di Ferro, Palestriadi, Power Games, attività con sovraccarichi e resistenze finalizzate al fitness e al benessere fisico), Ginnastica Acrobatica, Attività sportiva ginnastica finalizzata alla salute ed al fitness, Go, DANZE REGIONALI Danze Folk e liscio Tradizionale: Mazurka, Valzer, Polka e altri balli tradizionali, DANZE ACCADEMICHE Danza Moderna e Contemporanea: Modern Jazz, Lyrical Jazz, Graham, Cunningam, Limon e generi derivati., DANZE COREOGRAFICHE Danze Etniche, Popolari e di Carattere: Tap Dance, Twist, Charleston, Belly Dance e danze tradizionali varie, DANZE ACCADEMICHE Danza Classica: Tecniche di Balletto, Variazioni Libere, Pas de Deux, Repertorio Classico, DANZE INTERNAZIONALI Danze Freestyle: Danze Caraibiche (Salsa, Mambo, Merengue, Bachata, Combinata, Rueda), Danze Argentine (Tango, Vals, Milonga), Hustle, Show Coppie e Formazioni, DANZE COREOGRAFICHE Danze Freestyle: Synchro Dance, Choreographic Dance, Show Dance, Disco Dance, DANZE INTERNAZIONALI Danze Standard e Danze Latine: Valzer Inglese, Tango, Valzer Viennese, Slow Foxtrot, Quick Step, Samba, Cha Cha Cha, Rumba, Paso Doble, Jive, Combinata, Show Coppie e Formazioni, DANZE INTERNAZIONALI Danze Jazz: Rock'n Roll, Rock Acrobatico, Boogie Woogie, Swing Dance, Lindy Hop, Mixing Blues, Combinata, Show Coppie e Formazioni, Freestyle, DANZE NAZIONALI Liscio Unificato e Sala: Mazurka, Valzer Viennese, Polka, Valzer Lento, Tango, Foxtrot, Combinata, Show Coppie e Formazioni, Pallavolo",danza|fitness|ginnastica|sci|volley,ASC,100213,1
