registry_club_id,source,source_organism,source_club_id,name,normalized_name,fiscal_code,legal_type,region,province,municipality,representative_name,valid_until,registered_at,affiliation_code,sport_year_start,sport_year_end,supported_sports,detail_url
coni:100213,CONI,ASC,100213,LANGUAGE & CARDIO FITNESS ASSOCIAZIONE SPORTIVA DILETTANTISTICA,LANGUAGE CARDIO FITNESS ASSOCIAZIONE SPORTIVA DILETTANTISTICA,94110650218,Associazione senza personalità giuridica,Trentino-Alto Adige/Südtirol,BZ,Bolzano/Bozen,"ARAUJO, JENNY VIVIANNE",18/05/2026,18/12/2015,30637,02/01/2026,31/12/2026,Volley,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=100213
coni:100236,CONI,CSI|FIGC,100236,ASS.SPORT.DILETTANTI.NAPOLI CALCETTO,ASS SPORT DILETTANTI NAPOLI CALCETTO,94112050631,Associazione senza personalità giuridica,Campania,,Napoli,"CAPODANNO, SOLANGE",18/05/2026,20/10/2016,620367,01/07/2025,30/06/2026,Futsal,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=100236
coni:100253,CONI,CSI|FIGC,100253,A.S.D. CIMONE FOOTBALL CLUB,A S D CIMONE FOOTBALL CLUB,94113090362,Associazione senza personalità giuridica,Emilia-Romagna,MO,Fanano,"MENEGANTI, ALESSANDRO",18/05/2026,22/02/2009,913967,01/07/2025,30/06/2026,Calcio|Futsal,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=100253
coni:10034,CONI,FIGC,10034,ASSOCIAZIONE SPORTIVA DILETTANTISTICA RIVER SESIA CALCIO,ASSOCIAZIONE SPORTIVA DILETTANTISTICA RIVER SESIA CALCIO,01963970031,Associazione senza personalità giuridica,Piemonte,NO,Recetto,"TEMPORELLI, PAOLO",18/05/2026,12/01/2008,913889,01/07/2025,30/06/2026,Calcio,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=10034
coni:10037,CONI,FIGC,10037,ASD PRO CERVIGNANO RUDA,ASD PRO CERVIGNANO RUDA,01964340309,Associazione con personalità giuridica,Friuli-Venezia Giulia,UD,Cervignano del Friuli,"TELLINI, GIORGIO",18/05/2026,13/11/2007,640022,01/07/2025,30/06/2026,Calcio,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=10037
coni:100399,CONI,FIGC,100399,SOCIETA' SPORTIVA DILETTANTISTICA CARBONERA BREDA A RESPONSABILITA' LIMITATA,SOCIETA SPORTIVA DILETTANTISTICA CARBONERA BREDA A RESPONSABILITA LIMITATA,94121030269,Società a Responsabilità Limitata (SRL),Veneto,TV,Carbonera,"FAOTTO, GIOVANNI",18/05/2026,16/02/2010,963995,01/07/2025,30/06/2026,Calcio,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=100399
coni:10045,CONI,CSI|FIGC,10045,A.S.D. VALLE DEL VOMANO,A S D VALLE DEL VOMANO,01965060674,Associazione senza personalità giuridica,Abruzzo,TE,Castellalto,"D'OSTILIO, FABIANO",18/05/2026,13/10/2016,945454,01/07/2025,30/06/2026,Calcio|Futsal|Volley,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=10045
coni:100468,CONI,CSI|FIGC,100468,A.S.D. TAVERNELLE CALCIO,A S D TAVERNELLE CALCIO,94124220545,Associazione senza personalità giuridica,Umbria,PG,Panicale,"CACIOTTO, MICHELE",18/05/2026,11/11/2009,51610,01/07/2025,30/06/2026,Calcio|Futsal,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=100468
coni:100535,CONI,FIGC,100535,A.S.D. A.C. CAPOCAVALLO,A S D A C CAPOCAVALLO,94126770547,Associazione senza personalità giuridica,Umbria,PG,Corciano,"BACIANINI, EMANUELE",18/05/2026,30/09/2016,941332,01/07/2025,30/06/2026,Calcio,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=100535
coni:10054,CONI,FIGC,10054,A.S.D. VEVERI 1974,A S D VEVERI 1974,01965840034,Associazione senza personalità giuridica,Piemonte,NO,Novara,"CESARANO, ANTONIO",18/05/2026,09/06/2008,710900,01/07/2025,30/06/2026,Calcio,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=10054
coni:100542,CONI,FIGC,100542,A.S.D. LANCIOTTO CAMPI V.S.D.,A S D LANCIOTTO CAMPI V S D,94126970485,Associazione senza personalità giuridica,Toscana,FI,Campi Bisenzio,"NOVELLI, MAURIZIO",18/05/2026,22/03/2006,915425,01/07/2025,30/06/2026,Calcio,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=100542
coni:10055,CONI,FIGC,10055,ASD COLLEATTERRATO 2016,ASD COLLEATTERRATO 2016,01965920679,Associazione senza personalità giuridica,Abruzzo,TE,Teramo,"MARINELLI, VINCENZO",18/05/2026,27/10/2016,945545,01/07/2025,30/06/2026,Calcio,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=10055
coni:100580,CONI,FIGC,100580,CF SCANDICCI FUTSAL A.S.D.,CF SCANDICCI FUTSAL A S D,94128540484,Associazione senza personalità giuridica,Toscana,FI,Scandicci,"FANFANI, BENIERO",18/05/2026,02/02/2015,915807,01/07/2025,30/06/2026,Futsal,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=100580
coni:10060,CONI,FIGC,10060,OLMOPONTE AREZZO SANTA FIRMINA - ASSOCIAZIONE SPORTIVA DILETTANTISTICA,OLMOPONTE AREZZO SANTA FIRMINA ASSOCIAZIONE SPORTIVA DILETTANTISTICA,01966540518,Associazione senza personalità giuridica,Toscana,AR,Arezzo,"TREGHINI, MARCO",18/05/2026,19/01/2010,922670,01/07/2025,30/06/2026,Calcio,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=10060
coni:100663,CONI,CSI|FIGC,100663,A.S.D. GF RIONE CALCIO A CINQUE,A S D GF RIONE CALCIO A CINQUE,94131320486,Associazione senza personalità giuridica,Toscana,FI,Firenze,"MARIOTTINI, ANDREA",18/05/2026,12/05/2016,947791,01/07/2025,30/06/2026,Calcio|Futsal,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=100663
coni:100746,CONI,CSI|FIGC,100746,ASD CIRCOLO PARROCCHIALE CELTIC DON BOSCO,ASD CIRCOLO PARROCCHIALE CELTIC DON BOSCO,94133670219,Associazione senza personalità giuridica,Trentino-Alto Adige/Südtirol,BZ,Bolzano/Bozen,"ZULIANI, GIANPAOLO",18/05/2026,17/09/2016,953011,01/07/2025,30/06/2026,Calcio,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=100746
coni:100755,CONI,CSI|FIGC,100755,A.C.D. SOLIGNANO,A C D SOLIGNANO,94134000366,Associazione senza personalità giuridica,Emilia-Romagna,MO,Castelvetro di Modena,"BORGHI, ANDREA",18/05/2026,17/10/2007,80962,01/07/2025,30/06/2026,Calcio|Futsal,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=100755
coni:100794,CONI,CSI|FIGC,100794,ASD CONDOR TREVISO,ASD CONDOR TREVISO,94135470261,Associazione senza personalità giuridica,Veneto,TV,Treviso,"ARTUSO, GIANFRANCO",18/05/2026,08/11/2011,934020,01/07/2025,30/06/2026,Basket|Calcio,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=100794
coni:1009,CONI,FIGC,1009,ASSOCIAZIONE SPORTIVA DILETTANTISTICA ATLETICO SAN PIETRO IN VALLE,ASSOCIAZIONE SPORTIVA DILETTANTISTICA ATLETICO SAN PIETRO IN VALLE,00872700943,Associazione senza personalità giuridica,Molise,IS,Frosolone,"DI MARIO, ANGELO",18/05/2026,03/05/2011,921707,01/07/2025,30/06/2026,Calcio|Futsal,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=1009
coni:10091,CONI,CSI|FIGC,10091,A.S.D. F.C.NOTARESCO,A S D F C NOTARESCO,01969060670,Associazione senza personalità giuridica,Abruzzo,TE,Notaresco,"D'ANGELANTONIO, LUIGI",18/05/2026,02/01/2017,945927,01/07/2025,30/06/2026,Calcio,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=10091
coni:101044,CONI,FIGC,101044,ASSOCIAZIONE SPORTIVA DILETTANTISTICA GRASSINA,ASSOCIAZIONE SPORTIVA DILETTANTISTICA GRASSINA,94143440488,Associazione con personalità giuridica,Toscana,FI,Bagno a Ripoli,"GUIDOTTI, LEONARDO",18/05/2026,07/01/2008,962883,01/07/2025,30/06/2026,Calcio,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=101044
coni:101091,CONI,FIGC,101091,VILLORBA TREVISO FOOTBALL CLUB SOCIETA' SPORTIVA DILETTANTISTICA A RESPONSABILITA' LIMITATA,VILLORBA TREVISO FOOTBALL CLUB SOCIETA SPORTIVA DILETTANTISTICA A RESPONSABILITA LIMITATA,94144990267,Associazione senza personalità giuridica,Veneto,TV,Villorba,"PIZZOLATO, SETTIMO",18/05/2026,05/05/2014,937785,01/07/2025,30/06/2026,Calcio,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=101091
coni:101147,CONI,FIGC,101147,SSD NUOVA ALBA A R.L.,SSD NUOVA ALBA A R L,94147350543,Associazione senza personalità giuridica,Umbria,PG,Perugia,"GRANOCCHIA, MATTEO",18/05/2026,05/03/2014,937968,01/07/2025,30/06/2026,Calcio,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=101147
coni:10121,CONI,CSI|FIGC,10121,ASSOCIAZIONE POLISPORTIVA DILETTANTISTICA SOLZESE SEZ.CALCIO,ASSOCIAZIONE POLISPORTIVA DILETTANTISTICA SOLZESE SEZ CALCIO,01971860166,Associazione senza personalità giuridica,Lombardia,BG,Solza,"CARMINATI, ERNESTINA",18/05/2026,29/06/2006,59016,01/07/2025,30/06/2026,Calcio,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=10121
coni:1013,CONI,FIGC,1013,ASSOCIAZIONE SPORTIVA DILETTANTISTICA SAN BIAGIO,ASSOCIAZIONE SPORTIVA DILETTANTISTICA SAN BIAGIO,00873460422,Associazione senza personalità giuridica,Marche,AN,Osimo,"CECATI, GIANNI",18/05/2026,09/03/2006,66941,01/07/2025,30/06/2026,Calcio|Futsal,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=1013
coni:101373,CONI,FIGC,101373,A.S.D. CITTA' DI PAESE,A S D CITTA DI PAESE,94155840260,Associazione senza personalità giuridica,Veneto,TV,Paese,"BALDISSERA, ANGELO",18/05/2026,30/09/2016,945227,01/07/2025,30/06/2026,Calcio,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=101373
coni:101439,CONI,FIGC,101439,A.S.D. GIOVANI BIANCOROSSI,A S D GIOVANI BIANCOROSSI,94158110489,Associazione senza personalità giuridica,Toscana,FI,Lastra a Signa,"FABRIZZI, FABRIZIO",18/05/2026,23/10/2012,920979,01/07/2025,30/06/2026,Calcio,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=101439
coni:10148,CONI,FIGC,10148,A.S.D. CORVA CALCIO 2008,A S D CORVA CALCIO 2008,01974760447,Associazione senza personalità giuridica,Marche,FM,Porto Sant'Elpidio,"CONTI, GIUSEPPE",18/05/2026,11/12/2009,920666,01/07/2025,30/06/2026,Calcio,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=10148
coni:101508,CONI,CSI|FIGC,101508,G.S.D. ALBERETA SAN SALVI,G S D ALBERETA SAN SALVI,94160410489,Associazione senza personalità giuridica,Toscana,FI,Firenze,"MATTOLINI, FABIO",18/05/2026,07/04/2011,920698,01/07/2025,30/06/2026,Calcio|Futsal,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=101508
coni:101555,CONI,CSI|FIGC,101555,POLISPORTIVA UNION 81 ASD APS,POLISPORTIVA UNION 81 ASD APS,94162420361,Associazione senza personalità giuridica,Emilia-Romagna,MO,Modena,"PANZANI, FABIO",18/05/2026,06/03/2009,949261,01/07/2025,30/06/2026,Calcio,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=101555
coni:10156,CONI,FIGC,10156,VIRTUS MONTEROSI ASSOCIAZIONE SPORTIVA DILETTANTISTICA,VIRTUS MONTEROSI ASSOCIAZIONE SPORTIVA DILETTANTISTICA,01975750561,Associazione senza personalità giuridica,Lazio,VT,Monterosi,"DI PROSPERO, GIACOMO",18/05/2026,16/12/2009,930825,01/07/2025,30/06/2026,Futsal,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=10156
coni:10157,CONI,FIGC,10157,POLISPORTIVA SILIGO ASD,POLISPORTIVA SILIGO ASD,01975750900,Associazione senza personalità giuridica,Sardegna,SS,Siligo,"CASU, GIUSEPPE",18/05/2026,28/07/2009,64359,01/07/2025,30/06/2026,Calcio,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=10157
coni:101654,CONI,CSI|FIGC|UISP,101654,POLISPORTIVA 2M ASSOCIAZIONE SPORTIVA DILETTANTISTICA,POLISPORTIVA 2M ASSOCIAZIONE SPORTIVA DILETTANTISTICA,94168460486,Associazione senza personalità giuridica,Toscana,FI,Campi Bisenzio,"CAROVANI, CESARE",18/05/2026,19/11/2009,953888,01/07/2025,30/06/2026,Basket|Calcio|Futsal,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=101654
coni:101671,CONI,CSI|FIGC,101671,BARACCA BEACH ASSOCIAZIONE SPORTIVA DILETTANTISTICA,BARACCA BEACH ASSOCIAZIONE SPORTIVA DILETTANTISTICA,94171190369,Associazione senza personalità giuridica,Emilia-Romagna,MO,Bomporto,"AZZALI, ANDREA",18/05/2026,24/05/2013,943391,01/07/2025,30/06/2026,Calcio|Futsal,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=101671
coni:101762,CONI,FIGC,101762,ASSOCIAZIONE SPORTIVA DILETTANTISTICA CALCIO FIRENZE,ASSOCIAZIONE SPORTIVA DILETTANTISTICA CALCIO FIRENZE,94173750483,Associazione senza personalità giuridica,Toscana,FI,Firenze,"RUSSO, LUIGI",18/05/2026,25/09/2013,954879,01/07/2025,30/06/2026,Calcio,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=101762
coni:10177,CONI,CSI|FIGC,10177,ASD POLISPORTIVA ORIOLO,ASD POLISPORTIVA ORIOLO,01977490562,Associazione senza personalità giuridica,Lazio,VT,Oriolo Romano,"VALENTINI, ANTONIO",18/05/2026,13/03/2007,945122,01/07/2025,30/06/2026,Basket|Calcio|Rugby|Volley,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=10177
coni:101779,CONI,FIGC,101779,CENTRO SPOST E STUDI NEAPOLIS - ASSOCIAZIONE SPORTIVA DILETTANTISTICA,CENTRO SPOST E STUDI NEAPOLIS ASSOCIAZIONE SPORTIVA DILETTANTISTICA,94174840630,Associazione senza personalità giuridica,Campania,,Napoli,"RACCUGLIA, CONCETTA",18/05/2026,15/10/2015,920543,01/07/2025,30/06/2026,Calcio,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=101779
coni:10179,CONI,FIGC,10179,GRUPPO SPORTIVO DILETTANTISTICO SAN FRUTTUOSO,GRUPPO SPORTIVO DILETTANTISTICO SAN FRUTTUOSO,01977570991,Associazione senza personalità giuridica,Liguria,GE,Genova,"GUASTAVINO, EMANUELE",18/05/2026,29/10/2010,932547,01/07/2025,30/06/2026,Calcio|Futsal,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=10179
coni:10189,CONI,FIGC,10189,ASD ACTIVE NETWORK FUTSAL,ASD ACTIVE NETWORK FUTSAL,01978440566,Associazione senza personalità giuridica,Lazio,VT,Viterbo,"VALENTI, MARCO",18/05/2026,09/10/2014,963758,01/07/2025,30/06/2026,Futsal,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=10189
coni:10194,CONI,FIGC,10194,ASSOCIAZIONE SPORTIVA DILETTANTISTICA ROMARIA,ASSOCIAZIONE SPORTIVA DILETTANTISTICA ROMARIA,01978680567,Associazione senza personalità giuridica,Lazio,VT,Capranica,"MARTIN, LORELLA",18/05/2026,19/01/2010,930614,01/07/2025,30/06/2026,Calcio,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=10194
coni:10210,CONI,FIGC,10210,ASD JOLANDA VOLLEY 2016,ASD JOLANDA VOLLEY 2016,01980290389,Associazione senza personalità giuridica,Emilia-Romagna,FE,Jolanda di Savoia,"PENAZZI, MATTEO",18/05/2026,23/08/2016,953260,01/07/2025,30/06/2026,Calcio,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=10210
coni:102172,CONI,FIGC,102172,ASSOCIAZIONE SPORTIVA DILETTANTISTICA MARCIALLA CITY,ASSOCIAZIONE SPORTIVA DILETTANTISTICA MARCIALLA CITY,94187220481,Associazione senza personalità giuridica,Toscana,FI,Barberino Tavarnelle,"RIGACCI, LORENZO",18/05/2026,31/03/2015,922800,01/07/2025,30/06/2026,Calcio,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=102172
coni:1025,CONI,FIGC,1025,S .S.CAMPOBASSO CALCIO A.S.D.,S S CAMPOBASSO CALCIO A S D,00876030701,Associazione senza personalità giuridica,Molise,CB,Campobasso,"GIULIANO, MARIO",18/05/2026,28/07/2006,795088,01/07/2025,30/06/2026,Calcio|Futsal,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=1025
coni:102528,CONI,FIGC,102528,A.S.D. COBRA KAI,A S D COBRA KAI,94202120484,Associazione senza personalità giuridica,Toscana,FI,Firenze,"EVANS, HAMZA ANDREW",18/05/2026,31/01/2012,934485,01/07/2025,30/06/2026,Calcio,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=102528
coni:10261,CONI,FIGC,10261,ASS. SPORTIVA DILETTANTISTICA A.S.D. MONTAGNANA CALCIO,ASS SPORTIVA DILETTANTISTICA A S D MONTAGNANA CALCIO,01984420289,Associazione con personalità giuridica,Veneto,PD,Montagnana,"BERGAMASCO, SIMONE",18/05/2026,21/04/2011,31650,01/07/2025,30/06/2026,Calcio,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=10261
coni:102667,CONI,FIGC,102667,MARANO CALCIO ASSOCIAZIONE SPORTIVA DILETTANTISTICA,MARANO CALCIO ASSOCIAZIONE SPORTIVA DILETTANTISTICA,94216390636,Associazione senza personalità giuridica,Campania,,Marano di Napoli,"PISACANE, ANGELO",18/05/2026,15/12/2008,911706,01/07/2025,30/06/2026,Calcio,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=102667
coni:10272,CONI,CSI|FIGC,10272,F.C. CASTELNUOVO A.S.D.,F C CASTELNUOVO A S D,01985270360,Associazione senza personalità giuridica,Emilia-Romagna,MO,Castelnuovo Rangone,"MURATORI, ANDREA",18/05/2026,02/02/2006,68874,01/07/2025,30/06/2026,Calcio|Futsal,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=10272
